Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
SUPRAJIT,File 2 (custom),-11.027623,30.3585,50.225825,0.095355,238483.960606,9232.26404,48.362877,,,1.739852,0.382737,0.243326,,2979.301669,,138.483961,,,-17.314619
ADVANIHOTR,File 1 (vectorbt),-10.09583,35.764582,37.779484,0.021113,107667.157729,1095.308247,33.666845,1.070261,,1.121316,0.120116,0.209084,,1729.433904,,7.667158,,,-15.833113
ADVANIHOTR,File 2 (custom),-9.651815,33.506788,36.924918,0.010728,105219.796613,745.68523,31.448754,1.062994,,1.086893,0.086996,0.046467,,845.407094,,5.219797,,,-15.487934
BEPL,File 1 (vectorbt),-12.011146,35.215474,41.090896,0.023823,113932.832588,1548.09251,43.133297,1.074675,,1.217203,0.142271,0.231312,,1554.072546,,13.932833,,,-14.033269
BEPL,File 2 (custom),-11.5673,34.529964,41.510626,0.016351,113629.442498,1514.3825,42.430863,1.075868,,1.216739,0.117211,0.058975,,787.93529,,13.629442,,,-13.097703
ORIENTLTD,File 1 (vectorbt),-14.62797,32.525564,32.525564,-0.010714,96524.949696,-1158.350101,37.981703,1.014931,,0.871992,0.01942,0.032437,,517.732098,,-3.47505,,,-16.995917
ORIENTLTD,File 2 (custom),-14.226968,32.609667,32.609667,-0.006815,96966.458935,-1011.180355,35.935161,1.016301,,0.886466,0.017743,0.007158,,257.59825,,-3.033541,,,-16.080919
APOLLOHOSP,File 1 (vectorbt),-8.409065,33.492944,60.963585,0.347601,466525.647629,22907.852977,26.118167,1.318503,,2.304035,0.624008,1.03054,,12358.464625,,366.525648,,50.0,-21.247337
APOLLOHOSP,File 2 (custom),-7.987623,32.890901,56.362534,0.189069,318814.971779,13675.935736,24.436339,1.292905,,1.939317,0.446854,0.236781,,4815.178886,,218.814972,,43.75,-20.825955
GHCL,File 1 (vectorbt),-10.186774,27.276585,35.592129,-0.031609,71348.969571,-1790.689402,59.780739,0.949219,,0.807251,-0.091667,-0.140939,,3692.750244,,-28.65103,,,-17.715922
GHCL,File 2 (custom),-9.78199,26.669428,34.08555,-0.021864,71779.378907,-1763.788818,58.786219,0.949642,,0.80529,-0.078256,-0.037218,,1830.992223,,-28.220621,,,-16.803603
CONSOFINVT,File 1 (vectorbt),-13.673303,35.643561,41.783566,-0.07583,48188.513729,-4710.135116,73.847233,0.913638,,0.349313,-0.205231,-0.275846,,1175.113998,,-51.811486,,,-25.704709
CONSOFINVT,File 2 (custom),-12.823081,33.695048,37.284118,-0.056895,50316.937194,-4516.642073,64.573764,0.865028,,0.356564,-0.254208,-0.119858,,587.664164,,-49.683063,,,-22.131757
RATNAMANI,File 1 (vectorbt),-11.125459,28.128882,45.166251,0.847565,565118.557198,46511.85572,17.216097,1.584429,,9.493094,0.918127,1.814756,10.0,5439.094909,,465.118557,10.0,80.0,-13.250836
RATNAMANI,File 2 (custom),-9.959929,28.501885,44.482421,0.461649,523836.110241,38530.555476,20.380355,1.556185,,6.811182,0.729997,0.462392,11.0,3006.688524,,423.83611,11.0,72.727273,-13.894631
DEN,File 1 (vectorbt),-10.625451,25.194611,34.763452,-0.058155,79494.525142,-1864.134078,37.645036,0.948527,,0.748512,-0.092599,-0.149175,,2005.262618,,-20.505475,,,-12.464714
DEN,File 2 (custom),-10.226793,22.58094,33.971041,-0.045559,75295.934764,-2245.824112,41.086655,0.923696,,0.682636,-0.118078,-0.059517,,965.794176,,-24.704065,,,-12.128393
MADHUCON,File 1 (vectorbt),-14.239641,41.228592,55.502462,0.283478,308362.474149,17363.539512,33.566716,1.441837,,2.104829,0.626672,1.096892,,4913.008401,,208.362474,,,-19.344509
MADHUCON,File 2 (custom),-12.991461,36.736951,48.758869,0.199554,270791.708017,14232.642335,28.606103,1.427341,,2.101597,0.491691,0.242046,,2340.055313,,170.791708,,,-17.879051
